id,name,created_at,updated_at
9d1ee44c-37ff-433a-812e-686f9981c01d,Acumen Genetics,2024-09-28T23:47:27,2024-09-28T23:47:27
9d1ee44c-506f-4940-922e-2e93163d85bf,Adhesive Genetics,2024-09-28T23:47:27,2024-09-28T23:47:27
9d1ee44c-5260-4999-9342-a822fa7bb08b,Advance Genetic,2024-09-28T23:47:27,2024-09-28T23:47:27
9d1ee44c-6167-43f4-b3c3-d31342ce5a1a,Advanced Seeds,2024-09-28T23:47:27,2024-09-28T23:47:27
9d1ee44c-edce-40e9-88b6-49602ee5d8dd,Aeque Genetics,2024-09-28T23:47:28,2024-09-28T23:47:28
9d1ee44d-0b4c-4611-9c19-e72a94f19015,Afghan Seeds Connection,2024-09-28T23:47:28,2024-09-28T23:47:28
9d1ee44d-1b55-4815-bee5-0c32e392b491,Afghan Selection,2024-09-28T23:47:28,2024-09-28T23:47:28
9d1ee44d-3218-430d-aa00-e57f15c3bc3a,Aficionado French Connection,2024-09-28T23:47:28,2024-09-28T23:47:28
9d1ee44d-7364-4d17-b21d-7f5d54505d07,Aficionado Seed Bank,2024-09-28T23:47:28,2024-09-28T23:47:28
9d1ee44e-14c1-4050-bd60-c6fb77bd920a,Aficionado Seed Collection,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-5d95-4334-a961-40e9ac2f5195,African Seeds,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-6cb0-4ae5-9295-6644f165f3da,Afropips Seeds,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-96a6-42cb-aeed-a13d723bdb41,Afterthought Autos,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-a46e-410f-b37d-e1e7fa88912b,Alabama Hemp Company,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-a64e-41f9-9bb0-458cae5b7bdb,Alaska Cannabis Cache,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-bebf-49ed-83a3-8260f0803856,Alastorlabs,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-c226-4481-a78a-53fb56137bc2,Alchemutant,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-c402-40d0-9562-be58fd0ab360,Alchemy Genetics,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-db07-4632-958f-b1a6ebabcf6e,Alex Acres,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-f388-4c79-a501-db3de3ac106c,Alex Beck,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44e-fb9e-40d4-b2f1-3e5af39e03c7,AlienLabs,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-0278-47d1-ad88-ce620bdbc07f,Alien Genetics,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-5072-4185-a8db-61044b1e979c,Alienblood Genetix,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-5425-429f-af5b-206230e048ba,Alight For Health / Alight Farms,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-5d00-4044-9039-8ca3019eab5d,All-in Medicinal Seeds,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-7c35-4029-9780-dc8689a18546,All We Know Is Dank,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-90c2-4531-9936-0cda74d9729b,All Star Genetics,2024-09-28T23:47:29,2024-09-28T23:47:29
9d1ee44f-9fdd-4ace-a133-eea0620d60e2,AlleyCat Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-a1c4-4564-88e1-385035233576,Almighty Farms Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-a919-4048-b8ad-08a34a3c2273,Almighty Seeds,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-c0d6-49b5-afc8-2418d27db595,Aloha Embassy,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-c640-4cc9-9ec6-1f44a6ad88ea,Aloha Island Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-d69e-498c-8842-e76682ad11ad,Alpaca Bowl Ranch Seeds,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-d88a-44e1-b9ab-c269b3cb2a75,Alpha Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee44f-e868-4ff7-8f38-c634c38f2475,Alphakronik Genes,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-6695-45f4-912c-69e784d30302,AlpinStash,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-9d61-4014-8c20-1d9df9160326,Alpindica Seeds,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-9f89-4f9c-99d7-d82adf2061d4,Alpine-Seeds,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-daf6-4999-8ea7-de2153214c7f,Altitude Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-e636-41db-a777-f27ce9228f71,Altitude Ranch Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee450-f02b-433a-9805-8dd4ee866b5e,Amadeus Genetics,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee451-0d63-46e9-ae5a-3fc3bcfcd645,Amaranta Seeds,2024-09-28T23:47:30,2024-09-28T23:47:30
9d1ee451-2b9c-4e8b-98b1-2f6cee57771a,Ambitious Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-2e36-4d57-aa75-ccc339e653fc,Amft13beans,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-32e0-4a50-8d5b-37203f2f41d8,Amish Warrior Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-41d6-4100-805c-f9db55521f34,Amsterdam Finest Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-44ab-4d18-8e0a-c7fcc3091918,Amsterdam Genetics,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-889d-430d-812d-a4fc137aefb3,Ananda Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-98df-4164-b4ad-8f50607d25be,Andalucía Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-9cf4-4d77-b116-a34df7b7f22c,Andina Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-aaea-4f9d-8f01-d30fa591f1b2,Andromeda Strains,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee451-d873-4bc9-ae9e-4839fec63434,Anesia Seeds,2024-09-28T23:47:31,2024-09-28T23:47:31
9d1ee452-e1ca-4f38-98b7-ed25739c055d,Anjaneya Mountain Medicine,2024-09-28T23:47:32,2024-09-28T23:47:32
9d1ee452-ec6c-4ba1-a449-ab5a1e367e72,Annibale Genetics,2024-09-28T23:47:32,2024-09-28T23:47:32
9d1ee453-52b6-4839-b87c-047c1a236607,Annunaki Genetics,2024-09-28T23:47:32,2024-09-28T23:47:32
9d1ee453-f0c3-413c-8b0d-5431b673d639,Anomaly Seeds,2024-09-28T23:47:32,2024-09-28T23:47:32
9d1ee454-3bab-494c-8301-d251a76af00d,Antenna Seeds,2024-09-28T23:47:33,2024-09-28T23:47:33
9d1ee454-7c57-4e3c-a369-8040b946a123,Anthony Renee Genetics,2024-09-28T23:47:33,2024-09-28T23:47:33
